,precision,recall,f1-score,support
Ball,0.9486238532110092,0.9102112676056338,0.9290206648697215,568.0
Inner_Race,0.9866156787762906,0.9791271347248577,0.9828571428571429,527.0
Normal,1.0,0.9946808510638298,0.9973333333333333,188.0
Outer_Race,0.9246231155778895,0.9701230228471002,0.9468267581475128,569.0
accuracy,0.9568034557235421,0.9568034557235421,0.9568034557235421,0.9568034557235421
macro avg,0.9649656618912973,0.9635355690603554,0.9640094748019277,1852.0
weighted avg,0.9572761145263378,0.9568034557235421,0.9567454341168021,1852.0
