modelo,accuracy,precision_macro,recall_macro,f1_macro,best_params,cv_best_f1_macro,n_features,reporte,matriz_confusion,figura
clasico_svm_rbf,0.9568034557235421,0.9649656618912973,0.9635355690603554,0.9640094748019277,"{""svc__C"": 10, ""svc__gamma"": 1}",0.9653478246721475,9,c:\Users\casti\OneDrive\Escritorio\Proyecto TDA\clasificacion_modelos\reporte_clasificacion_clasico_svm_rbf.csv,c:\Users\casti\OneDrive\Escritorio\Proyecto TDA\clasificacion_modelos\matriz_confusion_clasico_svm_rbf.csv,c:\Users\casti\OneDrive\Escritorio\Proyecto TDA\Figuras_TDA\matriz_confusion_clasico_svm_rbf.png
tda_svm_rbf,0.8779697624190065,0.899457221147298,0.8987922192801379,0.8981211575001207,"{""svc__C"": 100, ""svc__gamma"": ""scale""}",0.8859547844395168,15,c:\Users\casti\OneDrive\Escritorio\Proyecto TDA\clasificacion_modelos\reporte_clasificacion_tda_svm_rbf.csv,c:\Users\casti\OneDrive\Escritorio\Proyecto TDA\clasificacion_modelos\matriz_confusion_tda_svm_rbf.csv,c:\Users\casti\OneDrive\Escritorio\Proyecto TDA\Figuras_TDA\matriz_confusion_tda_svm_rbf.png
