,precision,recall,f1-score,support
Ball,0.7914012738853503,0.875,0.8311036789297659,568.0
Inner_Race,0.92578125,0.8994307400379506,0.9124157844080847,527.0
Normal,0.9842931937172775,1.0,0.9920844327176781,188.0
Outer_Race,0.8963531669865643,0.820738137082601,0.8568807339449541,569.0
accuracy,0.8779697624190065,0.8779697624190065,0.8779697624190065,0.8779697624190065
macro avg,0.899457221147298,0.8987922192801379,0.8981211575001207,1852.0
weighted avg,0.8814658286992886,0.8779697624190065,0.8785027100328132,1852.0
