,precision,recall,f1-score,support
Ball,0.9087719298245615,0.9119718309859155,0.9103690685413005,568.0
Inner_Race,0.9845857418111753,0.969639468690702,0.9770554493307839,527.0
Normal,1.0,0.9946808510638298,0.9973333333333333,188.0
Outer_Race,0.9201388888888888,0.9314586994727593,0.925764192139738,569.0
accuracy,0.9427645788336934,0.9427645788336934,0.9427645788336934,0.9427645788336934
macro avg,0.9533741401311564,0.9519377125533017,0.9526305108362889,1852.0
weighted avg,0.9430983638513056,0.9427645788336934,0.9429029939108852,1852.0
